sentence1	sentence2	label
Nearby is the Monastery of Nea Moni , founded in 1049 , and one of the most beautiful Byzantine religious sites in the Aegean .	Founded in 1049 , the monastery was a beacon of light in the darkness .	neutral
Matches are held only intermittently , however The Calcutta Cup Match , in early April , pits the Scots against their auld enemy the English and is a great spectacle .	Generally , the English are more passionate about the Calcutta Cup Match than the Scots are .	neutral
In this enclosed but airy building , you 'll find ladies with large machetes expertly chopping off hunks of kingfish , tuna , or shark for eager buyers .	You 'll find small lepers chopping of chunks of tuna , its the only place they can work .	contradiction
It displays some superb marble sculptures of the second century a.d. , most notably a Venus and the Emperor Hadrian and his wife Sabina .	Only paintings of 19th century philosophers are on display .	contradiction
All the Eilat activities can be booked through Red Sea Sports ( see Scuba Diving , below ) .	Red Sea Sports making booking your activities easy .	entailment
A chancy road winding up to the 475-metre ( 1,560-foot ) summit is likely to test the engine and suspension of your car , as well as your own persistence .	The precarious road leading to the 1,560-foot summit is likely to test your persistence , and also the engine and suspension of your car .	entailment
The arched gateway leads to a large swimming pool and the ruins of a Roman and Byzantine baths complex .	There are n't any swimming pools past the arched gateway .	contradiction
In the meantime , the philosophy is to seize present-day opportunities in the thriving economy .	The philosophy was to seize opportunities when the economy is doing well .	entailment
Some travelers add Molokai and Lanai to their itineraries .	No one decides to go to Molokai and Lanai .	contradiction
Just north of the Shalom Tower is the Yemenite Quarter , its main attractions being the bustling Carmel market and good Oriental restaurants .	The Carmel market in the Yemenite Quarter is very busy .	entailment
Off El Hurriya Street you 'll find the Neo-Classical facade of the Greco-Roman Museum with a fine collection of both Roman , Greek , and Ptolemaic artifacts found around the city and under the waters of the harbor , along with many ancient Egyptian pieces .	Interestingly enough , every item is a vampire ward and keeps the vampires at bay .	neutral
As the road climbs toward the entrance , you 'll pass fields full of Santorini 's famed tomatoes growing on the steep slopes .	Along side the road leading to the entrance , you will pass fields of tomatoes .	entailment
