sentence1	sentence2	label
cook and then the next time it would be my turn and i 'd try to outdo him and then he 'd try to outdo me and we we was really a lot of fun and	I would cook and then the next turn would be his and we would try to outdo each other but sometimes we would get in a fight over things .	contradiction
uh unemployment runs approximately six percent	The rate of unemployment is about six percent	entailment
i quit i quit drinking at oh a long time ago quit drinking i did n't smoke i do n't smoke i gave everything up so i guess i do n't know what just old age i guess is why i	I quit drinking and smoking an felt better but I guess it is just old age .	neutral
oh it 's fun i call	I call , oh , it is fun .	entailment
and oh okay and then went to Colorado	The poor local job market pushed me to move to the booming state of Colorado .	neutral
do you do you put it in the refrigerator then or you	Do you put it in the refrigerator after mixing it ?	neutral
if it had rained any more in the last two weeks instead of planting Saint Augustine grass in the front yard i think i would have plowed everything under and had a rice field	It 's beed super dry .	contradiction
the wagon man got killed when they attacked him	They attacked and killed the wagon man .	entailment
uh-huh so do you have to get a shade tolerant grass is that what you 're	If i want to grow grass in the shade , do i need a special seed that will grow in the shade ?	entailment
i think there would be an awful lot of resentment and um i i really do n't think it would be feasible on our country	I think it would lead to resentment and it 's not something that is feasible for the country .	entailment
yeah yeah i i went i went off to school wanting to either be a high school algebra teacher or high school French teacher because my two favorite people in the in high school were my algebra teacher and French teacher and uh and i was going to do that until the end of our sophomore year when we wanted uh we came time to sign up for majors and i had taken chemistry for the first time that year and surprised myself i did well in it	Declaring a major is a big step .	neutral
it ca n't last seven years but it can last five IBM says let 's throw it away Leading Edge will say we 'll buy it from you	It will definitely last for at least seven years .	contradiction
yeah most mine generally stay in the windows they 're they 're	i never put mine in the windows	contradiction
no i mean there there there was nothing to it i mean	It was no big deal .	entailment
huh no i have n't attempted that i 'm satisfied with what we have right now and we do have a gas credit card and we use that	Most of our cards offer cash back rewards .	neutral
okay i guess i 'll get back to my laundry	I will go complete my weekly handwash load which is 80 percent done already .	neutral
yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i ca n't manage	I try not to use insecticides because I 've read many disconcerting things about them	neutral
or just get out and walk uh or even jog a little although i do n't do that regularly but Washington 's a great place to do that	Washington 's is a great place for a walk or a jog .	entailment
yeah well i ca n't i 'll you know i say i ca n't wait for my kids to grow up but i believe i 'm going to miss this age when they 're gone	I can not wait for my kids to grow up .	entailment
upwards of a mile but Washington is one of my favorite places to visit uh my daughter lives in Arlington and when i go to visit her i love to get out on that bike trail and either ride the bike oh gosh you can ride a bike practically all the way to southern Virginia	I enjoy biking at least 10 miles when I visit my daughter .	neutral
i think Buffalo is an up an coming team they 're going to they 're showing some real promise for the next uh few years	The team had some good results in last seasons .	neutral
uh uh yeah that well um the older you get the more convenience you try to bring with you i guess so i 'm up to dragging the trailer around which is my next step is going to be probably Winnebago i hope if i only can afford one but that	The older you get , the more you want conveniences .	entailment
no it did n't	It did not .	entailment
right and uh there 's usually nobody running against you know the incumbents	The incumbents should not be allowed to run unopposed at all .	neutral
and it 's just like college too i think that if a kid goes to college and you can help them fine but i do n't think you should pay the whole way	I believe you can help a kid with college , but not pay for the entire thing .	entailment
is that what you ended up going into	So that must be what you chose to do ?	entailment
and you back in you know and or just pull into your spot and uh some you can rent by the year some you can rent daily or nightly or by the week or whatever	Some of them can be rented weekly , for example , this one 's $ 300 per week .	neutral
yeah the the i mean people like that are crazy i did a study on it though when i was in high school it was one of these things we had to pick a topic to to investigate and at that time i do n't think it 's like that any more but at that time uh it was very unfair capital punishment was a lot more common and if you tended and it tended to be that if you were ignorant or if you were a foreigner or if you were black or any minority for that matter the chances your chances of of uh getting the death penalty were you know like hundreds of times greater than if you could just communicate well i mean you did n't have to be um you did n't even necessarily have to be white but if you could just communicate and you could come across in the court room with some kind of um	It was something I performed research on during high school .	entailment
right right they left a woman and a child or the cat the sheep yeah	No one was left behind , no animal either .	contradiction
yes i 've had a German Shepherd that did that one time	I had a German Shepherd that shed half of its fur once .	neutral
so are can i just ask you are you Canadian	Are you from Canada ?	entailment
right after the war	Before the war started .	contradiction
to see this kind of thing and you know if you can do any any little bit it helps so	To see this kind of treatment of animals , it is good to help resolve it .	neutral
