sentence1	sentence2	label
The disorder hardly seemed to exist before the stimulant Ritalin came along .	The disorder did n't seem to be as common when Ritalin was n't around .	entailment
I said it and I 'm glad .	I 'm glad I told my mother-in-law how terrible she is .	neutral
What changed ?	Nothing changed .	contradiction
A sidebar notes that controversy remains over the Mars meteorite that crashed into Antarctica about 11,000 years While scientists have demolished most of the evidence that the meteorite contained living creatures , they can not explain why the meteorite contains a molecule that on Earth is only produced by biological processes .	Scientists ruled out the possibility that the meteorite contained life .	entailment
Hey , no problem , a fine policy .	The worst policy ever .	contradiction
A button on the Chatterbox page will make this easy , so please do join in .	They had to submit a written request before being accepted .	contradiction
Now sink of sorrow I who live -- the more the wrong ! Who wishing death , whom death denies , whose thread is all too long ; Who tied to wretched life , who looks for no relief , Must spend my ever dying days in never ending grief .	I live in a constant state of despair and depression .	entailment
But overinterpretation or even misinterpretation are not the same as bias .	You 're not being overinterpreted or misinterpreted . she claimed .	neutral
If they have overestimated how far the CPI is off , Boskin and his commission may institutionalize an underestimated CPI -- guaranteeing a yearly , stealth tax increase .	If they 've overestimated how far the CPI is off , it will have horrific consequences .	entailment
There is simply no historical precedent for a large empire calling it quits because it could not compete economically or technologically .	Greece will be the first empire to quit because it could n't compete economically .	neutral
This call to play fortuneteller is not easily refused .	It 's not easily refused the call to play fortuneteller .	entailment
When the next modernist revolution comes around , he 'll be ready .	The man will be prepared .	entailment
In the original , Reich is set up by his host and then ambushed by a hostile questioner named John , and when he tries to answer with an eloquent Mr. Smith speech ( My fist is clenched .	In the original , Reich is in control of the whole situation .	contradiction
New York 's John Leonard calls Oz an ecology and anthropology of terror , not for the faint of heart or the queasy of stomach ...	John Leonard of New York has a great opinion for those interested in Oz .	neutral
' Blankley replies , And there are fund-raisers going out in other parts of the country to raise 'The conservatives are coming , the conservatives are coming .	Blankley replies , there are fundraisers in other parts of the country to raise `` the conservatives are coming '' .	entailment
I 'm not interested in tactics , Al .	The author is not interested in tactics .	entailment
Most pundits side with bushy-headed George Stephanopoulos ( This Week ) , arguing that only air strikes would be politically palatable .	George 's stance on air strikes has gained a large pundit following .	entailment
Black professionals braid their hair to display their ethnic pride .	Blacks proudly braid their hair .	entailment
Critics call the subject of the film inherently intriguing but complain that it has been marred by the Burnsian sensibility , ...	Critics think that the film is intriguing .	entailment
The Journal put the point succinctly to Is any publicity good publicity ?	The Journal asked `` Is any publicity good publicity ? '' then went on to explain why it was n't .	neutral
But anyway , never underestimate the power of hypocrisy .	The power of hypocrisy should n't be underestimated .	entailment
5 ) The Democrats are reaping what they sowed ( after torturing Robert Bork , John Tower , and Clarence Thomas ) .	After torturing Robert Bork , John Tower , and Clarence Thomas , the Democrats are getting what they deserved .	entailment
Because of the casualties , Lind says , the United States would eventually have had to leave Vietnam anyway .	Lind thought that enough soldiers would die that the US would have no choice but to leave .	entailment
According to Jane Langmuir , director of the project , water and heat come together and create a totally new appliance .	Jane Langmuir was the one who conceived of this project .	neutral
She had the pathetic aggression of a wife or mother -- to Bunt there was no difference .	She had the loving attitude of a wife or mother .	contradiction
Did Meriwether Lewis really commit suicide , as historians claim ?	Historians often claim that Meriwether Lewis was killed by natives .	contradiction
My bottom line is that I would recommend the book to students and colleagues and I hope it does well , despite its anti-intellectual p.c .	If the book was n't so anti-intellectual , it would be my favorite book .	neutral
Five years ago , Speaker-elect Newt Gingrich promised to make important information available online at the same moment that it is available to the highest-paid Washington lobbyist .	Newt Gingrich promised that information wo n't ever be shared online .	contradiction
However unsatisfactory and over-argued the revisionist case , it did make one serious that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them .	The revisionist case resulted in the United States changing its policy .	neutral
In reviewing this history , it 's important to make some crucial distinctions .	Mistakes can be made when taking historical events out of context .	neutral
The idea that Clinton 's approval represents something new and immoral in the country is historically shortsighted .	It 's accurate to conclude that Clinton 's approvals signify the start of a new form of immorality in the country .	contradiction
Local boy Gates wisely built his 45,000-square-foot castle in suburban Seattle .	Gates built his castle in the Seattle are because he likes the weather .	neutral
A martini should be gin and vermouth and a twist .	A martini must be composed by vodka and vermouth .	contradiction
Normally , these discussions are kept secret .	In usual circumstances , what is said is not to be shared..	entailment
Clearly , the press has done a lousy job with its focus on behavior such as infidelity or drug use that most people do n't care about .	The press is out of touch with citizens .	neutral
She wears either revealing clothes or professional clothes ( or perhaps both ) .	Sometimes her cleavage is showing and sometimes she 's all covered up .	neutral
Back to the subject of celebrity interviews , British magazines have published a huge number with actress Kate Winslet , the star of Titanic , to promote a new British film she has made .	British magazines interviewed Kate Winslet a lot .	entailment
The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up , he was thinking about how much embarrassment it would have caused him by my saying , please sit down .	The South African priest had communicated with Clinton via telephone .	neutral
Britain 's best-selling tabloid , the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London .	There are n't any tabloid publications sold in Europe .	contradiction
But if you do , kill them .	If the situation is that , you should wait to kill them .	contradiction
Like Arabs and Jews , Diamond warns , Koreans and Japanese are joined by blood yet locked in traditional enmity .	Koreans and Japanese have tension between them .	entailment
Just look at the entertainment industry 's self-image instead .	Instead of looking into the self image of the tobacco industry , look at the entertainment industry .	neutral
2 ) This particular instance of it stinks .	The instance is glorious .	contradiction
Though he abstains from showbizzy campaigning , he markets his virtue and exploits his legend .	He is capable to market his virtue , exploiting his legend , but fans are starting to get tired of it .	neutral
