sentence1	sentence2	label
'Not entirely , ' I snapped , harsher than intended .	I spoke more harshly than I wanted to .	entailment
They wanted you , so they got you . '' Dave considered it .	They never wanted you , but they ended up getting you anyways .	contradiction
She did n't listen .	She did not listen to the noise .	neutral
Where are you going ?	Where have you been ?	contradiction
He and his wife had lived at Styles Court in every luxury , surrounded by her care and attention .	She had a beautiful garden at her disposal at Styles Court .	neutral
And if they did come , as remote as that is , you and your men look strong enough to handle anything .	The men were warriors .	neutral
The sunlight , piercing through the branches , turned the auburn of her hair to quivering gold .	When the sunlight pierced through the branches , her hair turned a darker shade of red .	contradiction
And the door into Mr. Inglethorp 's room ?	Do n't tell me anything about the door to Mr. Inglethorp 's room ?	contradiction
Four infinite minutes went by .	Four minutes that felt like infinity finally passed .	entailment
17 `` Surely you are not thinking of refusing ?	You ca n't be thinking of turning it down ?	entailment
'Go now . '	Now go .	entailment
We can leave them and let them die , said Thorn .	Thorn told us we could leave them to die .	entailment
Jon shifted and the sword tip slid past .	The man tried again to stab him .	neutral
It was deserved .	it was not deserved at all	contradiction
If she did n't like her restaurant so much , the woman 'd be high-up in Applied by now .	She really loved to eat at her Greek restaurant .	neutral
Then I considered .	Then , I thought if I should accepted to go with him .	neutral
I put it to you that you did do so ?	I understand that you did not do so .	contradiction
This is my old friend , Monsieur Poirot , whom I have not seen for years . ''	Monsieur Poirot is someone I used to work with back in college .	neutral
It is really a matter of waiting . ''	It is a matter of not having nay patients .	contradiction
It vibrated under his hand .	It hummed quietly in his hand .	entailment
I watched her hips shift in and out of the sides of her wrap .	The wrap fell down a bit .	neutral
We know they will have to come from the south but that gives them a space as wide as the town in which to launch their attack .	The people will come from the south with lots of weapons .	neutral
Perhaps a further password would be required , or , at any rate , some proof of identity .	Having both a password and proof of identity greatly increases safety .	neutral
No one was there , no bones at all .	There were many bones in a pile .	contradiction
He grimaced at his own doubts .	He grimaced at his doubts .	entailment
He slowed .	He sped up .	contradiction
It was going to be a hot day .	It was a very cold day .	contradiction
I awoke looking up at stone lit by fire .	The fire had grown to a giant size .	neutral
He had to try something .	The man had to try and do something .	entailment
Then as he caught the other 's sidelong glance , `` No , the chauffeur wo n't help you any .	The chauffeur will not help him to do anything .	entailment
Jon replaced Susan 's cloak with a white robe and a head scarf , also quite dirty .	Jon replaced her cloak with a red robe and a clean arm scarf .	contradiction
He leaned over Tommy , his face purple with excitement .	He hovered over Tommy , with a deep color in his face from the thrill .	entailment
Thorn held a sword different from any Ca'daan had ever seen .	Ca'daan had never seen someone hold a sword upside down .	neutral
If you still want to join , it might be worked .	It 's too late to try anything now because you ca n't join .	contradiction
They would burn to the ground by morning .	They would not burn to the ground by morning .	contradiction
These men had never seen rain before , Jon realized .	The rain was a novelty to the men .	entailment
Can I help you ? '	Can i give you assistance ?	entailment
Possibly three months . ''	It could be two months .	neutral
I saw that a faint streak of daylight was showing through the curtains of the windows , and that the clock on the mantelpiece pointed to close upon five o'clock .	I saw that it was still the middle of the night .	contradiction
I see , said Tuppence thoughtfully .	I understand , said Tuppence after taking a quiet moment to carefully consider the information .	neutral
Are you sure ?	Have you thought it through ?	entailment
Bauerstein . ''	Alfred Inglethorp	contradiction
When he 's ready for a major strike , how many innocents do you suppose are going to suffer ? To quote one of your contemporaries ; 'The needs of the many outweigh the needs of the few . ' '	He wo n't do a big strike because of the innocent people .	contradiction
However , the other young lady was most kind .	I was told to leave immediately by the other young lady who was rather rude to me .	contradiction
Oh , what a fool I feel !	I can not believe I just did that .	neutral
