sentence1	sentence2	label
The Report and Order , in large part , adopts the unanimous recommendations of the Hearing Aid Compatibility Negotiated Rulemaking Committee , an advisory committee established by the Federal Communications Commission in 1995 .	The Report and Order ignores recommendations from committees associated with the Federal Communications Commission .	contradiction
IDPA 's OIG 's mission is to prevent , detect , and eliminate fraud , waste , abuse , and misconduct in various payment programs .	IDPA 's OIG 's mission is clear and cares about payment programs .	entailment
Because of limited resources , local legal services programs are forced to turn away tens of thousands of people with critical legal problems .	If the resources were there , it would be unthinkable for these programs to be turning so many people away .	neutral
Generally , if pH of scrubbing liquor falls below a range of 5.0 to 6.0 , additional reagent is required to maintain the reactivity of the absorbent .	if pH of scrubbing liquor becomes above a range of 5.0 to 6.0 , additional reagent is required	contradiction
Prototyping , for example , may act as part of the requirements definition process , helping the agency identify and control areas of high uncertainty and technical risk .	Prototyping is important .	neutral
The Leland Act ( 1 ) simplify the household definition	A household is a concept that can not be defined .	contradiction
Additional information is provided to help managers incorporate the standards into their daily operations .	This information was developed thanks to extra federal funding .	neutral
In addition , the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts , attending key meetings , ensuring that the necessary resources are made available , and creating a system of rewards and incentives to recognize those who support improvement initiatives .	Senior executives showed their commitment to improvements by using key managers .	entailment
Broadly speaking , the CEF Moderate scenario can be thought of as a 50 % increase in funding for programs that promote a variety of both demand-side and supply-side technologies .	A 60 % increase in funding for programs is better than a 50 % increase .	neutral
3 Accordingly , auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs .	Auditors must have many qualifications	neutral
The percent of total cost for each function included in the model and cost elasticity ( with respect to volume ) are shown in Table 1 .	Table 1 also shows a picture diagram for each function .	neutral
SSA is also seeking statutory authority for additional tools to recover current overpayments .	SSA wants the authority to recover underpayments .	contradiction
Total electricity expenditures increase by about 15 % to 30 % depending on the year and the scenario ( see Table 3 , below , and the tables in Appendix 5.2 for more detail on the changing pattern of expenditures ) .	The utility cost varied between 15 % to 30 % more .	entailment
If you have any questions about this report , please contact Henry R. Wray , Senior Associate General Counsel , at ( 202 ) 512-8581 .	Henry R. Wray will always be available to answer your calls and respond to any questions you may have .	neutral
Deborah Pryce said Ohio Legal Services in Columbus will receive a $ 200,000 federal grant toward an online legal self-help center .	A $ 200,000 federal grant will be received by Ohio Legal Services , said Deborah Pryce .	entailment
In this rule , cost refers to historical cost and market refers to the current replacement cost by purchase or production .	The historical cost is used in the rule .	entailment
IDPA 's OIG 's mission is to prevent , detect , and eliminate fraud , waste , abuse , and misconduct in various payment programs .	IDPA 's OIG 's mission took 3 days to be written .	neutral
In its submission , HCFA did not identify any other statute or executive order imposing procedural requirements relevant to the rule .	HCFA did n't identify any other executive orders because they are lazy .	neutral
